ID	AN00493.ba41-42-22	AN00764.ba41-42-22	AN01410.ba41-42-22	AN02987.ba41-42-22	AN03217.ba41-42-22	AN03632.ba41-42-22	AN03935.ba41-42-22	AN04479.ba41-42-22	AN04682.ba41-42-22	AN05983.ba41-42-22	AN06365.ba41-42-22	AN06420.ba41-42-22	AN07176.ba41-42-22	AN07444.ba41-42-22	AN08161.ba41-42-22	AN08166.ba41-42-22	AN08677.ba41-42-22	AN08873.ba41-42-22	AN09402.ba41-42-22	AN09714.ba41-42-22	AN10723.ba41-42-22	AN11864.ba41-42-22	AN11931.ba41-42-22	AN12137.ba41-42-22	AN13295.ba41-42-22	AN13872.ba41-42-22	AN14757.ba41-42-22	AN14829.ba41-42-22	AN15088.ba41-42-22	AN16641.ba41-42-22	AN17254.ba41-42-22	AN17425.ba41-42-22	AN17678.ba41-42-22	AN19442.ba41-42-22	AN19760.ba41-42-22	UMB1376.ba41-42-22	UMB1578.ba41-42-22	UMB4337.ba41-42-22	UMB4590.ba41-42-22	UMB4842.ba41-42-22	UMB4999.ba41-42-22	UMB5079.ba41-42-22	UMB5115.ba41-42-22	UMB5144.ba41-42-22	UMB5176.ba41-42-22	UMB5297.ba41-42-22	UMB5302.ba41-42-22	UMB5303.ba41-42-22	UMB5309.ba41-42-22	UMB5340.ba41-42-22	UMB5342.ba41-42-22	AN00142.ba9	AN00493.ba9	AN00544.ba9	AN00764.ba9	AN01125.ba9	AN01410.ba9	AN01971.ba9	AN03217.ba9	AN03345.ba9	AN03632.ba9	AN03935.ba9	AN04479.ba9	AN04682.ba9	AN05983.ba9	AN06420.ba9	AN07176.ba9	AN07444.ba9	AN08161.ba9	AN08166.ba9	AN08792.ba9	AN09402.ba9	AN09714.ba9	AN09730.ba9	AN10028.ba9	AN10679.ba9	AN10723.ba9	AN10833.ba9	AN11864.ba9	AN11931.ba9	AN12137.ba9	AN12457.ba9	AN14757.ba9	AN14829.ba9	AN15566.ba9	AN16115.ba9	AN16641.ba9	AN17138.ba9	AN17425.ba9	AN17515.ba9	AN19442.ba9	AN19760.ba9	UMB1376.ba9	UMB1578.ba9	UMB4337.ba9	UMB4787.ba9	UMB4842.ba9	UMB4999.ba9	UMB5079.ba9	UMB5144.ba9	UMB5163.ba9	UMB5176.ba9	UMB5242.ba9	UMB5303.ba9	UMB5340.ba9
ENSG00000000003	3.51127	3.48297	1.66392	4.18864	3.270815	4.60303	6.50097	3.47023	5.33166	3.615	5.96404	4.1228	3.101905	3.12681	2.27092	2.40038	4.63884	5.78046	5.69302	6.05074	4.61837	4.43931	3.916	3.06324	3.08586	3.95992	3.02178	5.50187	5.16315	2.64736	14.926	2.96687	3.86607	2.18053	3.11159	2.01905	2.21439	3.78801	2.76521	4.23954	3.88074	2.59353	4.16948	4.11709	3.04403	4.18494	4.10994	4.86415	2.95889	3.40736	2.73067	4.8027	3.1325	3.63126	2.90201	3.37797	3.84224	2.13887	2.901345	6.24948	5.01443	4.3241	4.3241	4.62722	5.66319	4.49161	2.543375	2.76374	3.63397	3.22201	4.44604	4.52116	4.06347	3.94854	1.90938	4.43824	5.28139	2.96647	3.36568	4.70151	3.79878	3.07999	3.38526	5.21332	2.54344	4.33366	3.38959	3.51701	4.30967	3.7441	3.73776	3.58167	3.68313	3.0448	7.81752	3.66522	3.11377	3.89063	3.78089	3.44409	4.29538	3.63209	2.50994	3.95123	3.82388
ENSG00000000005	0.150701	0	0	0	0.04339745	0.0676897	0.0279646	0.0952317	0.188987	0.0382285	0.0357256	0	0.0412391	0	0	0	0	0	0.100476	0	0.0979776	0	0.166903	0.0794298	0.0270755	0.0539867	0.1047279	0.0816621	0.141023	0.0398159	0.0414654	0.0601215	0.241224	0.034503	0.111001	0	0.0983575	0.150884	0.0893679	0.0833641	0	0.0365832	0.0244083	0.114677	0.0888719	0	0.0778894	0.0465521	0.117801	0.131117	0	0.0462564	0.0691977	0.0356045	0.134685	0.0302789	0.033213	0.239249	0.1031725	0.0633484	0.135774	0	0	0.180358	0.0403583	0.109562	0.0357675	0	0.225857	0.0587111	0	0	0.0512141	0.101516	0.148221	0.0230108	0.0668619	0.101046	0.162872	0.0482885	0.165867	0.0492503	0.0635803	0.0475848	0	0.0374961	0.0362203	0.145483	0.0609724	0.176762	0.0427594	0.0879646	0	0.0512382	0.198777	0	0.111968	0.091406	0.111668	0.0264011	0.0614154	0.109991	0	0.0719297	0.0523644
ENSG00000000419	13.5641	9.35077	6.38228	15.9692	8.47475	14.2521	12.1504	7.514745	13.7688	10.6296	9.04047	11.1008	12.64725	15.5955	9.85824	10.8834	15.8006	12.2093	10.3672	7.96104	18.0961	10.8833	20.9415	13.6743	9.44704	10.7354	14.458875	4.88994	13.131	10.1147	11.9517	10.58366	10.9675	8.08485	9.10425	13.6668	9.22417	13.233	13.1843	13.1734	11.1911	10.7564	11.579	13.0222	12.0209	9.92714	5.46309	13.4372	8.63371	10.3443	11.163	11.852	7.04326	12.2802	8.69785	12.6711	14.0136	2.80467	8.672825	16.7832	11.0032	10.044	7.47669	16.9611	17.7002	11.1536	11.30666	10.6683	15.3942	11.9821	6.00591	13.5403	9.70663	6.14501	6.32122	13.6951	19.22	9.97857	20.1595	20.6053	13.2102	9.49231	11.4139	5.96772	8.73135	9.21997	11.3324	10.9396	9.771825	13.6057	21.2704	9.68694	13.8813	13.7216	10.2372	10.0472	10.0945	13.3621	13.9425	10.8248	10.8923	11.6954	12.3303	10.4177	12.4461
ENSG00000000457	2.96575	3.23023	5.76233	4.82729	3.143035	5.4077	5.50235	4.084325	3.25699	3.84141	3.59635	4.96842	4.80046	3.784	4.43344	4.58381	4.2698	3.96316	5.00135	4.11183	4.24652	3.14673	2.23985	5.65913	3.97128	4.88455	4.16868	2.67515	4.06331	2.93608	5.39389	4.58922	4.16288	3.01954	4.26401	4.79432	4.09365	4.32163	4.00763	4.45631	2.98495	4.03421	4.75487	4.6994	3.71398	3.87665	2.86262	5.13651	3.30594	4.42142	3.5723	4.32214	4.01664	4.25173	3.36331	4.44057	4.95889	4.08518	2.756085	5.83961	5.32762	5.01406	3.73078	4.3505	4.35504	5.00073	4.01037	4.09391	5.25885	4.35675	2.29125	3.84949	3.32714	3.54509	3.64623	5.06233	5.89323	5.12256	6.12006	1.93355	4.70272	4.12249	3.67367	2.40734	3.63955	4.21748	3.95011	5.0662	4.187575	3.89242	5.18452	4.17377	4.15334	4.33181	4.80153	3.36862	4.11861	4.62839	4.47214	4.297	5.61163	3.5879	4.89964	4.16768	4.06219
ENSG00000000460	1.68864	0.848477	2.21808	0.868683	1.57149	1.76417	1.599	1.066025	1.01957	1.16596	1.62404	0.946085	1.1224	0.50721	1.27586	0.946419	0.613869	1.05209	1.15304	1.8225	1.04603	1.6699	1.39834	1.85731	1.02194	1.06041	0.8195285	1.21284	0.919146	0.540645	3.25047	1.314205	1.31156	0.629725	0.73195	1.74127	0.979715	2.08539	0.904458	0.550328	0.949498	1.15865	0.764499	0.601502	0.877852	1.17718	0.820704	0.794772	0.960766	0.844392	1.15764	1.12174	0.942961	1.14947	0.653566	1.31975	0.838537	1.5933	0.9470675	1.20579	1.26583	0.716385	1.14465	0.612775	1.04643	1.42076	0.769501	0.770317	1.63472	0.843075	1.0221	0.911038	0.741632	1.03352	1.10967	0.953355	1.05938	0.771714	1.2014	1.76815	1.24497	1.36225	0.711534	0.666284	1.21314	2.53684	0.867321	1.20853	1.0476615	1.00541	0.86093	0.628029	1.08566	0.812058	1.10278	1.12413	1.46158	0.657279	0.8912	0.747411	1.00348	0.844123	0.685326	1.26127	0.757628
ENSG00000000938	3.73641	0.973057	0.651532	4.1427	1.744995	1.45459	3.51721	0.6261755	1.32681	0.43618	2.31386	0.857439	0.4952075	0.949504	1.36432	0.687433	0.541835	0.908619	1.15183	2.5098	0.47285	0.54145	0.641908	1.33044	0.56052	1.04622	0.4310165	2.21545	0.943907	0.794671	12.5949	0.676738	0.43365	0.482272	0.656789	0.767661	0.997236	1.22612	0.80303	0.471525	0.807267	0.700234	1.04669	0.371945	0.263514	2.03017	4.46199	0.485996	1.27996	0.670565	0.533532	0.924198	3.57823	1.28753	1.0027	0.927251	0.971712	1.58198	1.864755	1.25788	1.57605	3.11052	0.811946	1.93342	0.829246	0.819876	0.551897	0.777007	1.47772	0.677592	0.548518	0.55981	2.21197	1.60486	1.20601	0.630086	0.489644	0.856244	0.450743	0.682842	1.26437	1.56236	0.925271	2.54148	1.14373	0.356609	0.720972	2.73039	0.683491	0.50018	0.690266	0.841034	0.863335	0.637608	1.02234	0.472895	0.957366	0.546542	1.19105	0.478429	1.50312	1.16791	1.02289	0.638438	0.559857
ENSG00000000971	19.6362	2.27735	1.74453	11.6733	8.40203	4.68556	5.36118	2.92364	3.1056	1.83354	12.3069	3.80666	2.55337	2.88282	5.25971	2.72548	1.85201	3.67415	2.28124	12.4183	2.28404	2.43598	4.92434	4.67446	2.03638	2.32957	2.936405	4.50808	7.38118	2.34389	46.8603	2.5963	1.36218	1.2972	2.03195	2.167	2.80928	9.41574	2.51548	2.39667	4.83229	2.55833	3.67484	3.56202	3.04876	3.45426	8.93082	1.92409	1.11594	3.71275	2.73532	9.66716	1.73843	2.04396	1.91351	3.78001	2.37679	4.63568	8.317865	5.24231	4.11255	6.92328	4.89471	3.85312	6.31848	3.53507	2.331385	2.90557	8.60257	2.54406	6.35499	1.0268	8.2783	10.3576	2.42611	1.9775	3.20741	2.69827	4.05613	3.01833	3.09994	5.01007	3.64932	6.6494	1.62724	2.41789	2.52062	4.71369	2.84909	2.58653	2.08702	2.01702	1.38552	1.87893	18.1071	4.41858	3.53591	2.01431	4.67615	2.14528	7.20811	10.3095	2.23038	1.94562	2.43572
ENSG00000001036	8.72625	7.80756	7.67034	13.3276	9.679185	7.58568	11.9607	5.301615	5.48642	7.17837	7.18082	6.26353	5.914535	6.54089	7.42824	6.16212	5.92461	7.55401	5.11308	9.32972	7.03813	6.01721	7.93126	8.13877	7.10248	6.72923	5.683535	5.07907	6.59878	6.35331	24.9937	6.24874	7.44713	6.02279	6.84899	4.22131	5.52522	6.03753	4.98043	5.54888	6.00419	5.08364	5.45383	5.23687	4.36209	5.66165	6.64155	6.21803	5.66068	5.94333	5.38689	6.13897	9.15654	5.98223	5.65543	9.24638	6.78681	2.60671	6.337245	10.4441	6.50383	7.82438	6.05593	7.35661	8.15408	6.30399	5.02231	4.97637	9.52687	5.96867	4.13196	6.66968	7.23783	6.64636	8.15535	5.4077	6.36581	5.50028	3.82013	8.60568	5.6591	9.1937	6.2081	6.04672	5.82743	10.9317	5.83817	6.07935	6.94346	7.04943	5.00764	4.68378	4.62561	5.43695	7.01201	5.91591	6.08841	4.97168	6.69604	4.67621	6.28392	5.34346	6.29597	5.83286	6.35496
ENSG00000001084	14.2251	22.0908	11.4829	18.3834	23.43795	26.5706	12.8216	11.7401	10.6695	15.9148	16.8253	15.1443	12.3196	12.2266	17.2278	18.3804	16.0835	12.4848	19.9281	29.6006	15.9842	24.6619	16.8418	15.7893	14.288	20.7594	14.0061	10.2722	14.9465	17.8757	20.2537	17.94345	13.8623	15.6231	15.7486	13.7061	15.1761	12.5243	14.071	15.7791	12.7231	15.4814	16.3479	12.2314	9.61708	18.1878	16.6029	14.2191	13.0488	17.1698	16.6422	15.7681	20.0376	18.3317	17.2295	21.5115	15.0554	13.5248	15.49115	14.9694	19.6506	13.5831	15.7076	17.5328	14.5719	17.5571	13.11895	11.5506	24.498	12.1604	14.4911	16.4565	16.9344	18.7347	23.332	16.271	15.4558	14.3709	15.2018	18.3073	14.2852	21.3956	16.7908	11.5923	14.7343	29.3315	16.8528	15.0901	18.3648	14.1445	16.9069	13.7609	13.4203	14.8837	12.7157	10.9177	16.2474	13.3149	15.2556	13.4759	11.2277	10.0511	16.1096	15.3288	16.2849
ENSG00000001167	9.3995	8.1197	10.153	8.41134	11.9552	9.50412	9.27526	8.53697	9.14241	8.10492	11.8362	8.67777	7.264205	7.41237	8.93846	7.73516	7.55012	8.08225	9.65991	15.2865	8.45373	6.82563	10.1712	9.21272	8.4436	7.84243	7.49181	9.27364	7.22095	7.88527	12.2609	8.594585	6.68822	6.63521	7.40065	7.26602	8.71778	7.40777	8.73867	9.30524	8.20298	8.1902	8.79852	7.2826	6.04751	12.0974	9.66582	8.30129	7.05618	8.51333	8.81776	7.54557	10.2321	9.44802	7.07001	9.60934	7.36934	9.16004	9.39299	9.97865	9.21778	7.95213	9.86964	10.5812	7.44867	8.82071	7.58779	7.04386	10.9149	7.78551	11.0489	7.88175	8.8863	11.1376	11.35	8.48818	8.40973	7.59462	7.2833	8.86108	7.08805	11.3535	8.95702	9.27909	9.02155	13.0618	7.06937	9.64311	9.533995	8.55575	7.69844	8.02944	6.71074	7.82453	6.29865	5.73444	7.6866	7.94772	8.42744	6.97839	7.85503	5.80458	8.45783	7.17941	8.38486
